metabolite_ID	predicted_GCFs	max_jaccard	pep_mass	peak_count
250	CCMSLIB00004704879	['GCF539' 'GCF613' 'GCF611']	0.5	646.4866	3
251	CCMSLIB00000207331	['GCF539' 'GCF613' 'GCF613']	0.5	411.0639	2
252	CCMSLIB00004695635	['GCF539' 'GCF613' 'GCF613']	0.5	644.4697	4
253	CCMSLIB00005435706	['GCF517' 'GCF539' 'GCF614']	0.4	372.2351	3
254	CCMSLIB00004691453	['GCF539' 'GCF613' 'GCF613']	0.5	409.0663	0
255	CCMSLIB00000573827	['GCF539' 'GCF613' 'GCF611']	0.5	644.4694	1
256	CCMSLIB00004694503	['GCF634' 'GCF530' 'GCF533']	0.2	374.2509	0
257	CCMSLIB00000569857	['GCF539' 'GCF613' 'GCF611']	0.5	646.4854	1
258	CCMSLIB00004711509	['GCF550' 'GCF550' 'GCF550']	0.12	374.2508	1
259	CCMSLIB00000216566	['GCF363' 'GCF359' 'GCF364']	0.02	815.5124	3
260	CCMSLIB00004688881	['GCF582' 'GCF580' 'GCF585']	0.08	288.2533	2
261	CCMSLIB00000219898	['GCF582' 'GCF580' 'GCF585']	0.05	310.2353	1
262	CCMSLIB00004694502	['GCF134' 'GCF248' 'GCF128']	0.09	419.2766	3
263	CCMSLIB00004711508	['GCF134' 'GCF248' 'GCF102']	0.04	859.5388	3
264	CCMSLIB00000207330	['GCF132' 'GCF347' 'GCF619']	0.1	463.2771	4
265	CCMSLIB00004691452	['GCF589' 'GCF619' 'GCF619']	0.25	441.264	5
266	CCMSLIB00004695634	['GCF608' 'GCF601' 'GCF604']	0.25	728.4625	0
267	CCMSLIB00000573832	['GCF589' 'GCF592' 'GCF590']	1.0	456.2526	11
268	CCMSLIB00000085412	['GCF590' 'GCF585' 'GCF582']	0.33	478.2345	3
269	CCMSLIB00000215907	['GCF610' 'GCF590' 'GCF585']	0.25	478.2331	7
270	CCMSLIB00004704878	['GCF589' 'GCF589' 'GCF592']	1.0	478.2336	4
271	CCMSLIB00000566230	['GCF589' 'GCF589' 'GCF592']	1.0	456.2522	28
272	CCMSLIB00000072267	['GCF589' 'GCF589' 'GCF590']	0.4	279.1953	2
273	CCMSLIB00004691888	['GCF580' 'GCF550' 'GCF580']	0.25	293.21	2
274	CCMSLIB00000205725	['GCF83' 'GCF83' 'GCF83']	0.08	325.2356	2
275	CCMSLIB00004717353	['GCF584' 'GCF610' 'GCF584']	0.18	506.2666	5
276	CCMSLIB00004685157	['GCF538' 'GCF546' 'GCF554']	0.25	446.244	0
277	CCMSLIB00000220599	['GCF592' 'GCF593' 'GCF592']	0.75	520.2442	4
278	CCMSLIB00004717347	['GCF610' 'GCF609' 'GCF581']	0.5	484.2831	12
279	CCMSLIB00000072273	['GCF580' 'GCF580' 'GCF581']	0.83	207.1743	4
280	CCMSLIB00003739948	['GCF229' 'GCF168' 'GCF134']	0.0	207.175	2
281	CCMSLIB00004721178	['GCF102' 'GCF582' 'GCF580']	0.2	189.164	0
282	CCMSLIB00000574436	['GCF610' 'GCF609' 'GCF609']	0.5	551.3623	10
283	CCMSLIB00004689976	['GCF533' 'GCF527' 'GCF524']	0.14	293.21	1
284	CCMSLIB00003739960	['GCF522' 'GCF522' 'GCF498']	0.03	278.21	1
285	CCMSLIB00000221122	['GCF553' 'GCF553' 'GCF634']	0.09	301.1755	0
286	CCMSLIB00004696711	['GCF141' 'GCF247' 'GCF530']	0.15	293.2095	1
287	CCMSLIB00000075332	['GCF580' 'GCF580' 'GCF580']	0.17	293.2095	1
288	CCMSLIB00000078170	['GCF580' 'GCF580' 'GCF581']	0.38	279.1931	2
289	CCMSLIB00004691042	['GCF589' 'GCF589' 'GCF590']	0.8	506.2655	5
290	CCMSLIB00004697433	['GCF254' 'GCF254' 'GCF254']	0.08	325.2353	0
291	CCMSLIB00004697427	['GCF589' 'GCF589' 'GCF592']	1.0	424.263	12
292	CCMSLIB00004721781	['GCF531' 'GCF531' 'GCF539']	0.25	224.2019	0
293	CCMSLIB00004698927	['GCF638' 'GCF637' 'GCF533']	0.5	392.236	0
294	CCMSLIB00004679267	['GCF589' 'GCF589' 'GCF592']	0.44	478.2708	3
295	CCMSLIB00000478422	['GCF589' 'GCF589' 'GCF590']	1.0	490.2707	4
296	CCMSLIB00004698933	['GCF589' 'GCF589' 'GCF592']	1.0	933.477	10
297	CCMSLIB00000081270	['GCF93' 'GCF93' 'GCF93']	0.02	278.2099	1
